ID;type;description;nbAns;Answer1;Answer2;Answer3;Answer4;Answer5;Answer6;Answer7;Answer8;Answer9;Answer10;Answer11;Valid1;Valid2;Valid3;Valid4;Valid5;Valid6;Valid7;Valid8;Valid9;Valid10;Valid11
394;SAP; Which ABAP Dictionary object can reference a domain?;1;Structure;Database table field;Table type;Data element;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
395;SAP; Which message types behave the same regardless of the context in which they are called?;2;A;E;I;S;W;X;NULL;NULL;NULL;NULL;NULL;1;0;0;0;0;1;NULL;NULL;NULL;NULL;NULL
396;SAP; You are writing a program that uses ABAP class.Which components of the class can you create directly from the program?;1;Only private components;Only protected components;Only public components;All components;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
397;SAP; Which controller types can exist within a Web Dynpro component?;3;Window controller;User controller;Application controller;View controller;Component controller;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
398;SAP; Which of the following statements create a data object?;3;CLASS;TYPES;PARAMETERS;CLASS-DATA;CONSTANTS;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL
399;SAP; You have 2 objects: O1 of type class C1 and O2 of type class C2.Class C2 is a subclass of class C1. Which of the following statements implements an up cast?;1;MOVE O1 ?TO O2.;O2 ?= O1.;MOVE O1 TO O2.;O1 = O2.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
400;SAP; Which of the following repository objects can you maintain in the ABAP Workbench?;3;Function modules;Internal tables;Business functions;Transparent tables;Module pools;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
401;SAP; You are making changes to a program that already has transaction code ZZZZ linked to it. Your colleague is testing transaction code ZZZZ in the same system.When does the changed version of the program become visible to your colleague via transact on code ZZZZ?;1;When you execute the program from the ABAP Editor;When you save the program;When the syntax of the program is correct;When you activate the program;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
402;SAP; You define a generic variable that can hold the ABAP types C', ' D', ' N', ' STRING', ' and T. You want to restrict the use of other ABAP types. Which generic data type must you use in the definition?;1;CLIKE;SIMPLE;CSEQUENCE;DATA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
403;SAP; Which of the following are key capabilities of SAP NetWeaver?;3;People Integration;Information Integration;Application Platform;Enterprise Resource Planning;Supply Chain Management;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL
404;SAP; You call a lock module.�Which exceptions could the lock module raise when a logical lock CANNOT be set?;2;FOREIGN_LOCK;CX_SY_DATA_ACCESS_ERROR;CX_SY_OPEN_SQL_ERROR;SYSTEM_FAILURE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
405;SAP; Function modules provide which types of parameters?;4;Output;Input/output (changing);Return values;Input;Exceptions;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
406;SAP; What is the ALV Object Model?;1;A group of classes that describe the BDC�Grid as a whole and inherit from a single class;A group of classes that describe the ALV Grid as a whole and inherit from a single class;A group of hierarchal classes that describe the ALV Grid as a whole but do not inherit from a single class;A group of classes that apply Grid as a whole and inherit from a multiple class;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
407;SAP; You write the following ABAP statement:SELECT SINGLE carrid', ' connid', ' cityfrom', ' cityto FROM spfliINTO @gs_spfliWHERE carrid = @pa_car AND connid = @pa_con.How are the selected fields placed into target structure gs_spfli?;1;Into fields with the same name and same type;From left to right;Into fields with the same name;Into fields with the same type;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
408;SAP; Which data type is allowed for the reference field of the Currency field?;1;DEC;CURR;UNIT;CUKY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
409;SAP; You implemented a subclass that inherits the instance constructor from it superclass�What can you do with the inherited constructor?Note: Answers of this question are not verified by our experts', ' please study yourself and select the appropriate answers.;2;Change the name;Create several implementations;Change the signature;Redefine the implementation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
410;SAP; Which of the following statements can you use to setup checkpoints in an ABAP program?;3;ASSERT;CHECK;BREAK;LOG-POINT;BREAK_POINT;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
411;SAP; Which of the following includes are generated when you create a function group?;1;LxxxxO01;LxxxxTOP;LxxxxUXX;LxxxxF01;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
412;SAP; What does the Refactoring Assistant allow you to do?;2;Move between classes and interfaces;Move components between superclasses and subclasses;Rename all subclasses of a method;Rename all occurrences of a method;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
413;SAP; In which modularization units can you use parameters?;3;Methods;Event blocks such as START-OF-SELECTION;Dialog modules such as PBO modules;Function modules;Subroutines;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
414;SAP; Which of the following tasks does the BADI implementing class perform?;1;Sequencing;Filtering;Inserting;Deleting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
415;SAP; A transport company keeps track of this availability in two tables', ' table VEHICLES and table TRANSPORT. To accept a new transport of a certain capacity must be found in table VEHICLES. If a record is found', ' a record is created in table TRANSPORT. The capacity is then adjusted in table VEHICLES.\\You have four function modules at your disposal.UPD_VEHI_A and UPD_VEHI_B update a matching report in table VEHICLES. If an error occurs both issue a message of type X. If no error occurs only UPD_VEHI_A issues a message of type X. If no error occurs UPD_VEHI_A issues a message of type I.UPD_TRAN_A and UPD_TRAN_B create a single record in table TRANSPORT. If an error occurs both issues a message of type X. If no error occurs only UPD_TRAN_A issues a message of type I.Which of the following function module calls ensures a single logical unit of work?;1;1.UPD_VEHI_A;2.UPD_TRAN_A;1. UPD_TRAN_A;2. UPD_VEHI_B;1.UPD_VEHI_A;2.UPD_TRAN_B;1. UPD_TRAN_B;2. UPD_VEHI_B;NULL;NULL;NULL;0;0;0;0;1;0;0;0;NULL;NULL;NULL
416;SAP; Which of the following are features of the Context in Web Dynpro?;2;Data is transferred from one Context to another by firing plugs;Every Web Dynpro controller has one Context;Every Web Dynpro controller has multiple Contexts;Data is shared between controllers through Context mapping;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
417;SAP; DOG is a subclass of ANIMAL. You have created a variable of type ANIMAL that references an instance of the DOG class. Which of the following statements can you use to copy this reference to a new variable of type DOG?;1;MOVE��?TO��;WRITE��TO��;MOVE-CORRESPONDING�� TO��;MOVE�. TO�..;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
418;SAP; Which of the following statements are correct? ;3;You can use the addition NO-DISPLAY to hide the input field on the selection screen.;The structure of the selection table created with SELECT-OPTIONS has four components: SIGN', ' OPTION', ' LOW', ' and HIGH.;You can only specify default values for the LOW and HIGH fields of the SELECT-OPTIONS input field.;The SELECT-OPTIONS statement creates an internal table with a header line. The internal table is also known as the selection table.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
419;SAP; How many work areas are available in the Debugger?;1;7;15;12;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
420;SAP; What ABAP statements can you use to create an instance of the class CL_GUI_CUSTOM_CONTAINER in an ABAP program?;1;DATA: go_container TYPE CL_GUI_CUSTOM_CONTAINER.;CREATE DATA go_container�;DATA: go_container TYPE CL_GUI_CUSTOM_CONTAINER.;CREATE OBJECT go_container�.;DATA: go_container TYPE REF TO CL_GUI_CUSTOM_CONTAINER.;CREATE DATA go_container�;DATA: go_container TYPE REF TO CL_GUI_CUSTOM_CONTAINER.;CREATE OBJECT go_container�..;NULL;NULL;NULL;0;0;0;0;0;0;1;0;NULL;NULL;NULL
421;SAP; How do you define an internal table in a private method of a class?;3;DATA lt_itab TYPE TABLE OF <Dictionary Table > WITH HEADER LINE;DATA lt_itabTYPE <Table Type>;DATA lt_itab TYPE TABLE OF <Structure Type>;DATA lt_itab TYPE <Dictionary Table>;DATA lt_itab TYPE TABLE OF < Dictionary Table >;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL
422;SAP; You have created the following:- A class with an event definition- A handler class with a method ON EVT that handles this event- A report that instantiates the handler class-�A message statement that raises an exceptionHowever', ' the report does not react to the event. How do you analyze this issue?;3;Check if the handler method ON_EVT is defined in a subroutine of the report.;Check if the event is triggered by setting a breakpoint at the RAISE EVENT statement;Check if the implementation of the handler method ON_EVT contains the desired logic.;Check if the handler method is registered to the correct event.;Check if the event is triggered by setting a breakpoint at the MESSAGE ... RAISING ... statement.;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
423;SAP; What is data binding?;1;Connecting an outbound plug on one view to the inbound plug of another view;Connecting one Web Dynpro component to another Web Dynpro component;Connecting a context node in one controller to a context node in another controller;Connecting the values of user interface elements to the context attributes of the corresponding controller;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
424;SAP; You enhance an SAP standard global class by defining a post-method for an SAP method. The original SAP method has an EXPORTING parameter named PAR 1.What type of parameter is PAR 1 in the post-method?Please choose the correct answer;NULL;EXPORTING;RETURNING;CHANGING;IMPORTING;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
425;SAP; What is the Web Dynpro programming model is based on?;1;Internet Transaction Server (ITS);Business Server Pages (BSPs);Model View Controller (MVC);Classic Dynpro programming;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
426;SAP; You need to create a piece of code that can be used by multiple programs. Which of the following techniques does SAP recommend?;2;Use an include program.;Use a function module in a function group.;Use a method in a local class.;Use a method in a global class;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
427;SAP; What can you create using the ABAP Dictionary?;3;Domains;Field symbols;Internal tables;Type pools;Transparent tables;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
428;SAP; Which statement is used to generically define the data reference variable z1?;1;data z1 type ref to data;data z1 type ref to PA0001;data z1 type any;data z1 type any table;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
429;SAP; You have the following class definition:CLASS lei_airplane DEFINITION.PUBLIC SECTION. METHODSset_passengers.PROTECTED SECTION.CONSTANTS:c_pos type ivalue 100. METHODS: get_passengers.PRIVATE SECTION.DATA: nw_passengers TYPEi. METHODS: set_attributes.ENDCLASS.Which components can be addressed directly from a subclass of classic_airplane?;3;GET_PASSENGERS;SET_PASSENGERS;SET_ATTRIBUTES;MV_ PASSENGERS;C_POS;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL
430;SAP; To benefit from the hash algorithm when accessing a hashed internal table', ' how do you specify the key?;1;Left aligned', ' gap free;Fully qualified;Under-qualified;Any key;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
431;SAP; In which controller type can you embed a service call?;1;View controller;Interface controller;Configuration controller;Component controller;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
432;SAP; Which of the following generic types can you use to define a field symbol that will be assigned to a character string?;3;Type csequence;Type clike;Type xsequence;Type any table;Type any;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL
433;SAP; How would you find out if an application program offers a program exit?Please select all the correct answers that apply.;NULL;Use the Application Hierarchy;Search for the character string CUSTOMER-FUNCTION;Use the Repository Information System;Look for a customer exit in the SAP reference IMG within an application area;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
434;SAP; After which statement will the runtime system initialize the ABAP memory?;1;LEAVE TO TRANSACTION;CALL TRANSACTION;SUBMIT� AND RETURN;SUBMIT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
435;SAP; You have been asked to review the following expression', ' which processes character strings:occ = 2What is the expected value of result?;1;6;2;4;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
436;SAP; Which of the following statements are true? ;2;A conversion routine can be assigned to a data element.;You can enter documentation for the data element in the ABAP Dictionary.;You define the value range in the data element.;A conversion routine can be assigned to a domain.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
437;SAP; Which of the following can you assign a search help to?;3;Data element;Structure component;Domain;Check table;Table type;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL
438;SAP; Which of the following is an implicit enhancement?;2;Overwrite method;Private method;Protected method;Pre-method;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
439;SAP; Your program uses the class CL_GUI_ALV_GRID to generate a classic ALV Grid Control�What do you need in your program to react to a use double-clicking a row in the ALV Grid?;3;A handler method for the double_click event;A handler class;A SET HANDLER statement to register the handler to the event;A method call to create the event handler;A method call to refresh the display;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL
440;SAP; What will happen at runtime when accessing a buffered table?;1;If data is read from the table buffer', ' the existing indexes are not used.;Following an update to a buffered record', ' all table buffers in the system will be updated.;If table data is read using indexes', ' the table buffer will not be filled.;All SELECT statements will read data from the buffer.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
441;SAP; Which of the followings components are part of SAP NetWeaver AS ABAP version 7.1x and higher?;2;Message Server;Internet Communication Manager (ICM);SAP GUI for Java;Software Deployment Manager (SOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
442;SAP; Which of the following is a true statement?;3;A package can be nested.;All customer repository objects have to be assigned to a package.;Packages use interfaces and visibility to make their elements visible to other packages.;The transport layer is a mandatory input field for the package.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
443;SAP; Which of the following are true statements?;3;Field labels are defined for the domain.;The technical attributes of the data element can be defined by a domain', ' that is', ' the data type', ' the field length', ' and the number of decimal places.;Reference data types can be used to define the data type of the data element.;You can also select predefined data types to define the data type of the data element.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
444;SAP; Which of the following is correct?;1;None of the above.;The screen attributes can be modified in the PROCESS AFTER INPUT event block.;The screen attributes can be modified in the PROCESS BEFORE OUTPUT and PROCESS AFTER INPUT event blocks.;The screen attributes can be modified in the PROCESS BEFORE OUTPUT event block.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
445;SAP; Which of the following rules must you follow when creating subscreens?;2;Subscreens can have a dialog module containing SET PF-STATUS.;Subscreens can call other subscreens.;Subscreens CANNOT have a field of type OK.;Subscreens CANNOT have an AT EXIT-COMMAND module.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
446;SAP; Which of the following tools belong to the ABAP Workbench?;3;Screen Painter;Function Builder;Form Builder;Easy Access Menu;Class Builder;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL
447;SAP; Where should the labels for fields be stored?;1;Domain;Field;Structure;Table;Data element;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL
448;SAP; You want to move a transport request from the development system to the subsequent system. Which of the following are prerequisites for this?;2;The extended program check must show no warnings.;The transport request must be released;All objects included in the transport request must be activated.;All tasks of the transport request must be assigned to the same user.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
449;SAP; Your selection screen can be modified at which event?;1;AT SELECTION-SCREEN ON <field_name>;AT SELECTION-SCREEN;AT SELECTION-SCREEN OUTPUT;None of the above;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
450;SAP; A screen has the following PAI flow logic:PROCESS AFTER INPUTFIELD A MODULE check_AFIELD B MODULE check_BCHAIN.FIELD: C', ' DMODULE check_CDENDCHAINCHAIN.FIELD: C', ' B.MODULE check_CBENDCHAINWhat happens if the application sends a type E message during the check_CB module processing?;1;The screen is displayed again without processing the PBO flow logic. All fields are ready for input.;The screen is displayed again without processing the PBO flow logic. Only fields B and C are ready for input;The screen is displayed again and the PBO flow logic is processed. Only fields B and C are ready for input.;The screen is NOT displayed again. Processing terminates and the user must restart the ABAP program.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
451;SAP; You want to select all the records from a database table where field CITY contains substring �BU� in any position. Which WHERE clause can you use in an Open SQL select statement?;1;WHERE city LIKE �_BU�;WHERE city LIKE �%BU*�;WHERE city LIKE �%BU%�;WHERE city LIKE �*BU*�;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
452;SAP; What does the enhancement category for a database table or structure do?;3;Can produce warnings at incompatible points for the structure;Can identify where program behavior may change;Specifies the types of changes that can be made to the structure;Makes a table Unicode-compliant;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
453;SAP; What is mandatory for automatic data transport between a variable and an input field on a classical screen (dynpro)?;1;The property OUTPUT of the input field must be set.;The name of the variable and the name of the input field must be identical.;The variable must be declared using the DATA statement.;The variable must be declared using the TABLES statement.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
454;SAP; Which of the following can you do with the ABAP debugger?;3;Analyze internal tables;Change source code.;Compare data objects.;Analyze SQL traces.;Analyze memory usage.;NULL;NULL;NULL;NULL;NULL;NULL;1;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL
455;SAP; Which of the following actions can be performed in the Process After Input (PAI) processing block?;1;Set the GUI status of the screen.;Modify screen attributes dynamically.;Set the title bar.;Check the function code.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
456;SAP; Which type of transport task is used when you modify SAP standard objects?;1;Repair;Workbench;Development/Correction;Transport of copies;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
457;SAP; What do you need to consider when creating a secondary index on a table?;2;The most frequently selected fields should be at the first positions in the index;The index can be created for specific database systems only;The index must always be unique;The table will be updated more quickly if you create more indexes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
458;SAP; Which data element property do you set so that the system logs changes to the content of fields with this data element?;1;Input history;Change document;PARAMETER ID;Documentation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
459;SAP; "You have been asked by a customer to develop Open SQL code to convert the value of argument ""arg"" into the ABAP Dictionary type specified."Which SQL syntax do you use to meet this requirement?;1;CASTING(arg FOR type);CAST(arg AS type);CASTING(arg AS type);CAST(arg FOR type);NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
460;SAP; Which objects can share data through context mapping?;1;Custom controllers and transparent tables;Global classes and component controllers;Component controllers and view controllers;View controller and another view controller;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
461;SAP; What is the default length of the type C data type?;1;1;1�65535;100;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
462;SAP; Which of the following data types are predefined ABAP data types?;3;STRING;DECIMALS;FLOAT;DECFLOAT34;XSTRING;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
463;SAP; Which of the following statements dynamically changes the data type of field z1?;1;Assign z1 to <fs>;Move z1 to <fs>;Assign z1 to <fs> casting;Unassign <fs>;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
464;SAP; When you define local classes in ABAP', ' which syntactical sequence must you follow?;1;PRIVATE SECTION', ' PROTECTED SECTION', ' PUBLIC SECTION;The order doesn�t matter.;PUBLIC SECTION', ' PROTECTED SECTION', ' PRIVATE SECTION;The order is handled automatically.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
465;SAP; You write a report that displays mass data in a table. You decide to use the ALV Grid control (class�CL_GUI_ALV_GRID) instead of a classical list display with WRITE statements.Which of the following functions can you offer to the user without doing any specific programming;2;Sort and filter the data by any column;Change column width and sequence;Convert currency amount columns;Display details by double-clicking on a row;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
466;SAP; Which statements are true about a class that has granted friendship to another class?;4;All classes that inherit from the friend (subclasses) also have the same access.;All classes the friend has granted friendship access status to also have the same access.;The friend has access to private attributes.;The friend has access to public attributes.;The friend has access to protected attributes.;NULL;NULL;NULL;NULL;NULL;NULL;1;0;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL
467;SAP; You build a dialog screen with an input field in an ABAP program.�How do you ensure that the contents of the screen field can be accessed in the program?;1;Use a MOVE statement in a PAI module to copy the data to a data object;Define a data object in the program with the same name as the screen field;Enter the name of a data object in the Parameter ID attribute of the screen field;Use the GET statement in the program to transport the data from the screen field;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
468;SAP; Is it possible to have multiple active implementations of business add-ins at a time? ;2;It cannot have a multiple active implementation.;It can have multiple active implementations if the Multiple use checkbox is selected.;It can have a multiple active implementation.;It can have multiple implementations if the Filter-Depend. checkbox is selected.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
469;SAP; You want to translate dynamic text in a web dynpro. From which abstract class should you inherit?;1;CL_WD_COMPONENT_ASSISTANCE;CL_WD_COMPONENT_SERVICES;CL_WD_CONTEXT_SERVICES;CL_WD_CONFIGURATION_MODEL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
470;SAP; You have defined a classical screen (dynpro) with mandatory input fields. You want to exit the screen using the Cancel button even if not all of the mandatory fields have been filled. What is necessary to achieve this?�Please choose the correct answer.;NULL;Assign function type E to the Cancel button and handle it in a module with the addition AT EXIT-COMMAND.;Set the function type assigned to the Cancel button to S and handle it in a module with the addition AT EXIT-COMMAND.;"Use the LOOP AT SCREEN. ... ENDLOOP statement to set the ""required"" property of the input fields to zero.";Set the function code assigned to the Cancel button to CANCEL and handle it in a module with the addition AT EXIT-COMMAND.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
471;SAP; Which of the following must you do to be able to use a Business Add-in(BADI)?;2;Activate the enhancement project;Write code for methods;Modify the adapter class;Create the BADI implementation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
472;SAP; Which of the following actions can you performing both the ABAP Editor and in the ABAP Debugger?;1;Create a breakpoint for a specificline.;Create a watchpoint for a specific variable.;Create a breakpoint for a specific statement.;Create a breakpoint for a specific message.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
473;SAP; In which event block can you overwrite the default value of a PARAMETERS field on the selection screen?;1;AT SELECTION-SCREEN;START-OF-SELECTION;INITIALIZATION;PROCESS BEFORE OUTPUT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
474;SAP; Which statement is true?;1;A database�LUW�cannot be placed within an SAP�LUW.;A database LUW must be placed within an SAP LUW.;An SAP LUW must be placed within a database LUW.;A database�LUW�must be placed without an SAP�LUW.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
475;SAP; What is the allowed length of the ABAP Dictionary data type DF16_DEC?;1;The allowed length is between 1 and 15 digits.;The allowed length is between 0 and 15 digits.;The allowed length is 16 digits.;The allowed length is between 0 and 16 digits.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
476;SAP; A view can only be displayed in which circumstances?;1;It can always be displayed.;It contains an inbound and outbound plug.;It cannot always be displayed.;It has been embedded in a window.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
477;SAP; The statements CALL BADI and GET BADI are used for which type of BAdIs?;1;Classical�DDic;New BAdI;None of the above;Classical BAdI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
478;SAP; Which of the following is a true statement? ;3;Client-specific customization objects are assigned to the customizing request.;Local repository objects can be transported.;Repository objects and cross-client customization objects are assigned to the workbench request.;All transportable objects have to be assigned to a package.;Inactive objects can be transported.;NULL;NULL;NULL;NULL;NULL;NULL;1;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
